Authorize,Autorizar
Authorize & Capture,Autorizar y capturar
Credit Card Information,Información de tarjeta de crédito/débito
Credit Card Number,Número
Expiration Date,Expiración
Card Verification Number,CVC
What is this?,¿Que es esto?
Place Order,Realizar Pedido
Invalid credit card number.,Número de tarjeta de crédito/débito no válido.
Invalid credit card type.,Tipo de tarjeta de crédito/débito invalida.
Invalid expiration date.,Fecha de expiracion inválida.
Invalid verification number.,Número de verificación no válido
Enabled,Habilitado
Title,Título
Secret,Secreto
Public Key,Llave pública
Terminal,Terminal
Merchant Id,Identificación del comerciante
Sanbox,Sanbox
Sandbox Secret,Sandbox Secret
Sandbox Public Key,Clave pública de sandbox
Sandbox Terminal,Terminal Sandbox
Sandbox Merchant Id,ID de comerciante de sandbox
Payment Action,Acción de pago
Payment From Applicable Countries,Pago de países aplicables
Payment From Specific Countries,Pago de países específicos
Sort Order,Orden de clasificación
Credit Card Types,Tipos de tarjeta de credito
