Product Group Id,ID Grupo Productos
Item Category Code,Código Item Categorias
Show all the stores,Mostrar todas las tiendas
Show the Click and Collect stores only,Show the Click and Collect stores only
Please select your hierarchy code,Por favor selecciona el código de jerarquía
Inventory Per Store,Inventario por Tienda
Inventory Totals,Inventario Total
On Demand,On Demand
Batch Job,Batch Job
N/A,N/A
No,No
Cron Listing,Cron Listing
LS Attributes deleted successfully.,Atributos de LS  eliminadas con éxito.
Categories deleted successfully.,Categorías eliminadas con éxito.
Customers deleted successfully.,Clientes eliminados con éxito.
Discounts deleted successfully.,Descuento eliminado con éxito.
%1 table truncated successfully.,%1 table truncated successfully.
All ls_ tables truncated successfully.,All ls_ tables truncated successfully.
Orders deleted successfully.,órden eliminda con éxito.
Products deleted successfully.,Productos elimindos con éxito.
Attribute Replication,Attribute Replication
Attribute Option Value Replication,Attribute Option Value Replication
Attribute Value Replication,Attribute Value Replication
Barcode Replication,Barcode Replication
Data Translation Replication,Data Translation Replication
Data Translation Lang Code Replication,Data Translation Lang Code Replication
Discount Replication,Discount Replication
Extended Variant Value Replication,Extended Variant Value Replication
Hierarchy Replication,Hierarchy Replication
Hierarchy Leaf Replication,Hierarchy Leaf Replication
Hierarchy Node Replication,Hierarchy Node Replication
Image Link Replication,Image Link Replication
Inventory Status Replication,Inventory Status Replication
Item Replication,Item Replication
Item Category Replication,Categoría Replicación Producto
Item Unit Of Measure,Unidad Medida Producto
Item Variant Registration Replication,Registro
Item Vendor,Vendedor Producto
Item Price Replication,Precio Replicación Producto
Product Group Replication,Grupo Replicación Producto
Store Replication,Replicación Tienda
Unit Of Measure,Unidad de Medida
Vendor,Vendedor
Logs,Logs
No Data Found File is Empty.,"No se encontro Data, el archivo esta vacío"
File Not Found.,Archivo no encontrado.
Product Image,Imágen Producti
